layer,bits,bit_setting,view,mode,rotation_path,rotation_seed,qjl_seed,storage_dtype,rotation_dim,learned_rotation_orthogonality_error,learned_rotation_determinant_error_max,effective_rotation_orthogonality_error,effective_rotation_determinant_error_max,block,learned_orthogonality_error,learned_determinant,learned_determinant_error,effective_orthogonality_error,effective_determinant,effective_determinant_error,effective_orthogonality_error_z,effective_determinant_error_z,is_outlier
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,0,0.0019759535789489746,1.000971674746586,0.0009716747465859932,0.0019759535789489746,1.0009716747465858,0.0009716747465857711,-1.6892860169319026,-0.6826255955441075,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,1,0.003658294677734375,1.0014533763542768,0.0014533763542767808,0.003658294677734375,1.0014533763542768,0.0014533763542767808,0.7281407943414464,-0.3652246313858569,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,2,0.002875089645385742,1.0000057692540174,5.769254017407022e-06,0.002875089645385742,1.000005769254017,5.7692540169629325e-06,-0.39727951744355994,-1.3190763146867075,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,3,0.003250405192375183,0.9976310100942192,0.0023689899057808272,0.003250405192375183,0.9976310100942193,0.0023689899057807162,0.14202720616619946,0.2380879160576776,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,4,0.004139900207519531,1.004923609520121,0.004923609520121053,0.004139900207519531,1.0049236095201208,0.004923609520120831,1.4201800728211154,1.9213680124970647,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,5,0.003172457218170166,1.002458784917803,0.0024587849178030474,0.003172457218170166,1.0024587849178026,0.0024587849178026033,0.030020477647413918,0.29725529880519547,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,6,0.0036719441413879395,1.0002074283060878,0.00020742830608777574,0.0036719441413879395,1.000207428306088,0.00020742830608799778,0.7477542837934074,-1.186199910421844,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,7,0.003008604049682617,1.0018864036523873,0.0018864036523873473,0.003008604049682617,1.0018864036523871,0.0018864036523871253,-0.20542704420167152,-0.0798959554325283,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,8,0.004055202007293701,0.9957053092126859,0.004294690787314148,0.004055202007293701,0.9957053092126862,0.004294690787313815,1.2984736601082925,1.5069633084584206,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,9,0.0034889914095401764,0.9991918083862673,0.0008081916137326894,0.0034889914095401764,0.9991918083862673,0.0008081916137326894,0.4848617945807292,-0.7903472704621295,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,10,0.0038305968046188354,0.996008161015225,0.003991838984774954,0.0038305968046188354,0.9960081610152256,0.0039918389847743985,0.97572898051287,1.3074093676197278,False
0,2.0,2.0,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271,bfloat16,256,0.0044951289892196655,0.0071985349270897725,0.0044951289892196655,0.0071985349270897725,11,0.0026423484086990356,0.999545447607138,0.00045455239286196214,0.0026423484086990356,0.9995454476071374,0.0004545523928626283,-0.73171520712716,-1.0233658609674998,False
